"NUTS_ID","NUTS_NAME","forest_surface_area_km2","NUTS_surface_area"
"TR63","Hatay, Kahramanmaraş, Osmaniye",3354.49472140762,23297
"TR71","Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",42.6532797858099,31862
"TR72","Kayseri, Sivas, Yozgat",1056.21571285061,59782
"TR81","Zonguldak, Karabük, Bartın",7239.90173296574,9538
"TR82","Kastamonu, Çankırı, Sinop",13698.7096247394,26497
"TR83","Samsun, Tokat, Çorum, Amasya",9677.00231892639,38003
"TR90","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",17193.6285308913,35058
"TRA1","Erzurum, Erzincan, Bayburt",425.736939265276,40818
"TRA2","Ağrı, Kars, Iğdır, Ardahan",0,29948
"TRB1","Malatya, Elazığ, Bingöl, Tunceli",51.5001996297775,37339
"TRB2","Van, Muş, Bitlis, Hakkari",0,44480
"TRC1","Gaziantep, Adıyaman, Kilis",180.278154079889,15734
"TRC2","Şanlıurfa, Diyarbakır",0,34511
"TRC3","Mardin, Batman, Şırnak, Siirt",0,25833
"UKC1","Tees Valley and Durham",318.669959046013,3027
"UKC2","Northumberland and Tyne and Wear",811.147006369427,5566
"UKD1","Cumbria",442.37246452969,6822
"UKD3","Greater Manchester",178.914081145585,1276
"UKD4","Lancashire",238.792826805097,3076
"UKD6","Cheshire",121.143223325857,2264
"UKD7","Merseyside",25.5016465422613,726
"UKE1","East Yorkshire and Northern Lincolnshire",48.1506849315068,3515
"UKE2","North Yorkshire",1117.98830409357,8312
"UKE3","South Yorkshire",237.647721935181,1552
"UKE4","West Yorkshire",335.812220566319,2030
"UKF1","Derbyshire and Nottinghamshire",494.029480217223,4788
"UKF2","Leicestershire, Rutland and Northamptonshire",173.524125452352,4918
"UKF3","Lincolnshire",162.993982700263,5937
"UKG1","Herefordshire, Worcestershire and Warwickshire",364.586830131446,5899
"UKG2","Shropshire and Staffordshire",434.155730533683,6203
"UKG3","West Midlands",25.1036468330134,902
"UKH1","East Anglia",781.552249725643,12580
"UKH2","Bedfordshire and Hertfordshire",193.00811249324,2878
"UKH3","Essex",137.780619111709,3678
"UKI3","Inner London — West",4.00735294117647,109
"UKI4","Inner London — East",1.70731707317073,210
"UKI5","Outer London — East and North East",25.4238532110092,433
"UKI6","Outer London — South",32.5845410628019,355
"UKI7","Outer London — West and North West",31.3659359190556,465
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",544.160443330255,5744
"UKJ2","Surrey, East and West Sussex",1487.504784689,5457
"UKJ3","Hampshire and Isle of Wight",855.12485136742,4149
"UKJ4","Kent",508.784693019344,3740
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",546.105141899675,7471
"UKK2","Dorset and Somerset",589.386132473332,6147
"UKK3","Cornwall and Isles of Scilly",198.724458204334,3566
"UKK4","Devon",634.090267983075,6710
"UKL1","West Wales and The Valleys",2244.65483304042,13131
"UKL2","East Wales",1126.15339974853,7650
"UKM5","North Eastern Scotland",1238.50322044463,6504
"UKM6","Highlands and Islands",6727.71676963251,41046
"UKM7","Eastern Scotland",2008.31510918851,13389
"UKM8","West Central Scotland",308.705202312139,1978
"UKM9","Southern Scotland",4332.7284612957,15885
"UKN0","Northern Ireland",1417.48077711708,14335
